Job Title,Company Name,Job Description,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link
Agent Commercial – Domaine du Meuble - Ariana,MA VIE MEUBLE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & CDD,Ariana & Tunis,Achats - Négociation - Suivi Commercial - Techniques de Vente - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/agent-commercial-domaine-meuble-ariana-208253
Télévendeurs  - Tunis,RENOVCALL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Tunis,Communication Téléphonique - Télécommunication,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeurs-tunis-208369
Formation en Data Scientist (F/H) - Paris,KAISCHOOL,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",Alternance,Ariana - Manouba - Monastir - Sfax - Sousse & International,Comptabilité - Finance - Gestion - PYTHON - SQL,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/formation-data-scientist-fh-paris-208396
Formation en Data Analyst (F/H) - Tunis,KAISCHOOL,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",Alternance,International,Comptabilité - Finance - Gestion,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/formation-data-analyst-fh-tunis-208399
"Vendeuse - Marsa,Tunis",SKILA,,Bac,Débutant < 2 ans,CDD,Tunis,Merchandising - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/vendeuse-marsatunis-208403
Production Manager - Sousse,ASTRAGALE  CALL CENTER,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,Sousse,Formation - Leadership - Maintenance - Management - Production - Qualité - Quality,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/production-manager-sousse-208420
Ingénieur Développement PHP (H/F) - Paris 9éme Arrondissement,PXO ,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & Freelance,Tunis,CSS - HTML - JAVASCRIPT - LINUX - SQL,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-developpement-php-hf-paris-9eme-arrondissement-208422
Ingénieur en Génie Civil - Tunis,L'ESPOIR CONTROL,,Bac+5 et plus,Expérience > 10 ans,CDI,Tunis,Maintenance - Réparation,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-genie-civil-tunis-208770
 Responsable de Production - Tunis,SOPROTIC,,Bac+4 & Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,Manouba & Tunis,Génie Industriel - Gestion de la Production - Maintenance - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-production-tunis-208778
Agent de Centre D’Appels - Tunis Lafayette,WAAD UNIVERSELLE,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD, Intérim, Stage, Freelance, Alternance & Statutaire",Tunis,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/agent-centre-appels-tunis-lafayette-208924
Vendeurs  - Marsa,BEN YAGHLANE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD & Stage",Tunis,Achats - Comptabilité - Finance - Gestion - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/vendeurs-marsa-209027
Chargé(e) des Ressources Humaines - Tunis,SOPROTIC,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Manouba & Tunis,Administration du Personnel - Bilan Social - Droit - Formation - Gestion de la Paie - Gestion des Contrats - Gestion Sociale - Politique RH,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-ressources-humaines-tunis-209202
Responsable de Maintenance - Tunis,SOPROTIC,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & CDD,Manouba & Tunis,Électromécanique - Électronique - Génie Industriel - Hydraulique - Hygiène - Maintenance - Maintenance Préventive - Processus - Production - Qualité - RSE,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-maintenance-tunis-209204
Développeur Fullstack (React Js / Node Js) - Tunis,SUPERDEV,,"Bac+3, Bac+4 - Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,AGILE - GITLAB - JIRA - MONGODB - NODE JS - REACT,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-fullstack-react-js-node-js-tunis-209218
Téléopérateurs (H/F) en Mutuelle Santé - Nabeul,ANC,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Nabeul,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurs-hf-mutuelle-sante-nabeul-209699
Un(e) Commercial(e) - Sousse,MY BIO,,Bac+3,"Etudiant, jeune diplômé",Temps partiel,Sousse,Analyse de Marché - Négociation - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/commerciale-sousse-209747
Télévendeurs - Tunis,PREVYOUCALL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI & CDD,Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeurs-tunis-209753
Stage pré embauche Assistant(e) Chef De Projet Technique - Ariana,SMART CONSEIL,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé & Débutant < 2 ans",CDD & Stage,Ariana - Ben Arous - Bizerte & Tunis,AGILE - BIG DATA - Pilotage de Projets - SCRUM,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/stage-pre-embauche-assistante-chef-projet-technique-ariana-209826
Téléconseillers en Energie Renouvelable - Tunis,JS COMMUNICATION ,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Ariana - Ben Arous - Manouba & Tunis,Télécommunication,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleconseillers-energie-renouvelable-tunis-209881
Surveillant - Montplaisir,UNIVERSITÉ MAHMOUD EL MATERI,,Qualification avant bac,Expérience entre 2 ans et 5 ans,CDD,Ariana - Ben Arous - Manouba & Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/surveillant-montplaisir-210200
Community Manager Senior  - Hammamet,AGROLINE,,Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDD,Nabeul,Communication - Communication Marketing - Marketing - Relations Publiques - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/community-manager-senior-hammamet-211335
Téléopérateur/trice Médical en Réception D’Appels - Sousse,ALTRACALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Sousse,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurtrice-medical-reception-appels-sousse-211478
Ouvriers Agricoles  - Hebira Mahdia ,LA FERME DE MLIK,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Mahdia,Exploitation - Irrigation - Machines - Maintenance - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ouvriers-agricoles-hebira-mahdia-211486
Infographiste Flexo - Tunis,FLEXOLINE,,"Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI & Stage,Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/infographiste-flexo-tunis-211529
Designer Infographiste - Tunis,OFFICE PRIME,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",Stage,Tunis,3DS MAX - AUTOCAD,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/designer-infographiste-tunis-211600
Télévendeur(s)  - Lac 2,SPHERE TECH,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Ariana,Communication - Développement Commercial - Gestion des Ventes - Négociation - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeurs-lac-2-211874
Développeur Web PHP Senior - Raoued,SMART CONSEIL,,Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDD,International,ANDROID - BACK END - DJANGO - FRONT END - GIT - GITLAB - LARAVEL - NOSQL - SQL - SYMFONY,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-web-php-senior-raoued-211954
Collaborateur/trice en Comptabilité Française - Bizerte,SB2I,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Bizerte,Comptabilité - Finance - Gestion,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/collaborateurtrice-comptabilite-francaise-bizerte-211979
Assistante Administrative  - Ariana,BIOPHARMED ,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDD,Ariana,Assistanat - Bureautique - Communication Écrite - Documents Administratifs - Dossiers - POWERPOINT - Secrétariat - WORD,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-ariana-212041
Opérateur Machine - Sfax,SUPER SAC,,"Bac+1, Bac+2 & Bac+3","Etudiant, jeune diplômé et plus",CDD,Sfax,Maintenance - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/operateur-machine-sfax-212087
Team Leader Superviseur  - Tunis,PROXIWEB,,Bac+3,Débutant < 2 ans,"CDI, CDD & Temps partiel",Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/team-leader-superviseur-tunis-212113
